post_id,creator_user_id,content,visibility,created_at,updated_at,
p_01,u_01,Just registered for the Cambridge Tech Meetup next month! Super excited to dive into AI and robotics discussions with fellow engineers. Who's joining? ??,public,2025-11-25T14:20:00,2025-11-25T14:20:00,
p_02,u_02,Spent the weekend preparing my presentation for the Biology Research Symposium in Houston. Breakthroughs in CRISPR are mind-blowing! ?? Can't wait to share.,public,2025-10-10T09:45:00,2025-10-10T09:45:00,
p_03,u_03,Looking forward to the Paris Winter Gala! Already picked out my dress – hoping to meet some amazing people there. Who's coming? ?,friends,2025-11-15T18:30:00,2025-11-15T18:30:00,
p_04,u_04,Just submitted my abstract for the Mumbai Medical Conference. Topic: Advances in robotic surgery. Fingers crossed it gets accepted! ??,public,2025-09-20T11:10:00,2025-09-20T11:10:00,
p_05,u_05,Quantum mechanics is blowing my mind again today. Anyone else struggling with wave-particle duality? Need a study group in São Paulo! ??,public,2025-12-05T16:55:00,2025-12-05T16:55:00,
p_06,u_06,Finished my mechanical engineering thesis prototype! Thermodynamic efficiency improved by 18%. Proud moment. ??,private,2025-11-30T20:15:00,2025-11-30T20:15:00,
p_07,u_07,"LA traffic is killing me on the way to campus, but the MIT Innovation Challenge this weekend will make it worth it. Team ready? ??",public,2025-12-12T08:20:00,2025-12-12T08:20:00,
p_08,u_08,Just bought tickets for the Cambridge Spring Ball! Can't wait for the orchestra and dancing under the stars.,non-binary representation matters! ????,friends,2025-11-20T13:40:00,2025-11-20T13:40:00
p_09,u_09,Networking tip of the day: Always follow up within 24 hours after meeting someone at events. Learned this the hard way. #BusinessTips,public,2025-10-25T10:05:00,2025-10-25T10:05:00,
p_10,u_10,Case brief done at 3 AM. Constitutional law is brutal but so rewarding. Coffee is my best friend right now ?,public,2025-12-08T03:30:00,2025-12-10T14:20:00,
p_11,u_11,International human rights law reading list recommendations? Preparing for the Zurich seminar series. Thanks in advance!,public,2025-11-05T12:50:00,2025-11-05T12:50:00,
p_12,u_12,Just aced my macroeconomics midterm! Feeling on top of the world today ??,Toronto winters can’t stop me!,public,2025-10-30T15:15:00,2025-10-30T15:15:00
p_13,u_13,New paper on ecological modeling just dropped. The implications for climate change are huge. Link in comments. ??,public,2025-12-18T09:10:00,2025-12-18T09:10:00,
p_14,u_14,Anyone else obsessed with special relativity? Time dilation still freaks me out every time. ??,public,2025-12-02T19:45:00,2025-12-02T19:45:00,
p_15,u_15,Just won my first mock trial! Feeling ready for the Toronto Law Career Fair next year. ??,friends,2025-12-10T22:30:00,2025-12-10T22:30:00,
