event_id,app,title,description,city,country,latitude,longitude,organizer_user_id,start_time,end_time,created_at
e_01,openyard,Cambridge Tech Meetup,Monthly networking event for engineering and computer science students to discuss latest trends in AI and robotics. Food and drinks provided.,London,United Kingdom,51.5074,-0.1278,u_01,2026-01-15T18:00:00,2026-01-15T21:00:00,2025-11-20T10:30:00
e_02,openyard,Biology Research Symposium,Annual symposium featuring guest speakers from top universities sharing breakthroughs in genetics and molecular biology.,Houston,United States,29.7604,-95.3698,u_02,2026-02-20T09:00:00,2026-02-20T17:00:00,2025-10-05T14:15:00
e_03,unidate,Paris Winter Gala,"Elegant evening gala for young professionals and students. Live music, dancing, and networking in a beautiful venue.",Paris,France,48.8566,2.3522,u_03,2026-01-25T20:00:00,2026-01-26T02:00:00,2025-11-10T16:45:00
e_04,unidate,Mumbai Medical Conference,International conference on advancements in medicine and healthcare with workshops and panel discussions.,Mumbai,India,19.076,72.8777,u_04,2026-03-10T08:30:00,2026-03-12T18:00:00,2025-09-15T11:20:00
e_05,openyard,Toronto Physics Workshop,Hands-on workshop exploring advanced physics topics including quantum mechanics and particle physics.,São Paulo,Brazil,-23.5505,-46.6333,u_05,2026-04-05T10:00:00,2026-04-05T16:00:00,2025-12-01T09:55:00
e_06,openyard,Oxford Engineering Fair,Career fair and exhibition showcasing mechanical engineering projects and industry opportunities.,Boston,United States,42.3601,-71.0589,u_06,2026-02-28T11:00:00,2026-02-28T17:00:00,2025-11-25T13:40:00
e_07,openyard,MIT Innovation Challenge,Hackathon-style event where students design and prototype mechanical engineering solutions.,Los Angeles,United States,34.0522,-118.2437,u_07,2026-03-15T09:00:00,2026-03-16T20:00:00,2025-12-10T15:10:00
e_08,unidate,Cambridge Spring Ball,"Formal ball with dinner, orchestra, and dancing for university students and alumni.",Chicago,United States,41.8781,-87.6298,u_08,2026-05-10T19:30:00,2026-05-11T01:00:00,2025-11-18T12:30:00
e_09,openyard,Harvard Business Networking,Exclusive networking dinner for business administration students and industry leaders.,Sydney,Australia,-33.8688,151.2093,u_09,2026-01-30T18:30:00,2026-01-30T22:00:00,2025-10-20T08:50:00
e_10,openyard,Toronto Law Debate,National law debate competition open to university law students with cash prizes.,Chicago,United States,41.8781,-87.6298,u_10,2026-04-20T10:00:00,2026-04-20T18:00:00,2025-12-05T17:25:00
e_11,openyard,Zurich Legal Seminar,Seminar series on international law and human rights with expert panelists.,Sydney,Australia,-33.8688,151.2093,u_11,2026-06-05T09:30:00,2026-06-07T16:30:00,2025-11-01T14:00:00
e_12,unidate,Toronto Economics Mixer,Casual networking mixer for economics students and young professionals.,Toronto,Canada,43.6532,-79.3832,u_12,2026-02-10T19:00:00,2026-02-10T22:00:00,2025-10-25T10:15:00
e_13,openyard,Zurich Biology Conference,Conference focusing on cutting-edge research in molecular biology and ecology.,Los Angeles,United States,34.0522,-118.2437,u_13,2026-07-15T08:00:00,2026-07-17T17:00:00,2025-12-15T11:45:00
